cut,total_weight,protein/lb,Kcal/lb,water.rate,co2.emision,land.use
Blended Burger,379,80,1120,6.355078,102.959,77
Ground Beef,250,112,1392,6.355078,102.959,77
Fat,100,0,4050,6.355078,102.959,77
Bones,80,,,6.355078,102.959,77
Round,64,96,760,6.355078,102.959,77
Chuck Roll,60,76,1200,6.355078,102.959,77
Bone-in Ribeye,48,108,1224,6.355078,102.959,77
Bone-in Strip,36,92,1040,6.355078,102.959,77
Top Round,32,100,760,6.355078,102.959,77
Sirloin,28,88,960,6.355078,102.959,77
Brisket,28,128,1312,6.355078,102.959,77
Should Clod,28,90,810,6.355078,102.959,77
Shanks,28,92,800,6.355078,102.959,77
Bottom Round,22,88,880,6.355078,102.959,77
Chuck Eye,20,80,1248,6.355078,102.959,77
Boneless NY Strip,16,92,1120,6.355078,102.959,77
Boneless Ribeye,16,72,1160,6.355078,102.959,77
Navel,16,,,6.355078,102.959,77
Top Blade,16,88,680,6.355078,102.959,77
Chuck Underblade,16,76,1120,6.355078,102.959,77
Eye Round,10,96,720,6.355078,102.959,77
Short Ribs,10,116,1380,6.355078,102.959,77
Tenderloin,10,128,880,6.355078,102.959,77
Culotte,6,86,963,6.355078,102.959,77
Tri-tip,6,117,800,6.355078,102.959,77
Flap,5,92,800,6.355078,102.959,77
Skirt,5,88,880,6.355078,102.959,77
Flank,3,88,800,6.355078,102.959,77
Cheek,2,113,653,6.355078,102.959,77
Hanger,1.5,104,797,6.355078,102.959,77
Oxtail,1.5,144,1184,6.355078,102.959,77
Teres Major,1.5,95,639,6.355078,102.959,77
Tongue,1.25,68,1000,6.355078,102.959,77